Molecule,Affinity1,Affinity2,Affinity3,Affinity4,Affinity5,Avg. Affinity
166259,-7.9,-9.3,-8.5,-7.2,-7.8,-8.14
121868,-8.2,-9.1,-8.2,-7.3,-7.3,-8.02
117987,-8.7,-8.4,-8.4,-6.8,-7.6,-7.9799999999999995
70799,-8.1,-7.8,-8.6,-7.5,-7.6,-7.92
70931,-8.6,-8.3,-7.7,-7.9,-6.9,-7.88
16437,-8.5,-7.2,-8.2,-7.3,-7.8,-7.8
7578,-8.3,-8.2,-8.2,-6.6,-7.4,-7.739999999999999
1614,-7.9,-7.9,-7.6,-7.0,-8.1,-7.7
727038,-9.1,-8.0,-7.7,-6.6,-7.0,-7.68
204232,-7.9,-8.3,-7.5,-7.5,-6.9,-7.62
127133,-8.3,-8.1,-8.1,-6.4,-7.1,-7.6
128606,-8.5,-8.0,-8.0,-6.7,-6.5,-7.540000000000001
670283,-7.7,-7.9,-7.5,-6.6,-8.0,-7.540000000000001
603071,-7.5,-8.3,-8.4,-6.8,-6.4,-7.480000000000001
73254,-7.9,-7.5,-7.1,-7.1,-7.7,-7.460000000000001
59620,-7.9,-7.6,-7.7,-7.4,-6.6,-7.44
1014,-7.9,-7.5,-8.4,-6.3,-7.1,-7.44
211490,-7.8,-7.4,-8.0,-6.4,-7.5,-7.42
601359,-7.1,-7.8,-8.3,-6.7,-7.2,-7.42
107701,-8.2,-7.5,-7.5,-6.2,-7.6,-7.4
65238,-7.4,-7.4,-8.2,-6.7,-7.2,-7.38
37641,-8.7,-9.1,-6.8,-6.0,-6.3,-7.38
177862,-7.1,-7.4,-7.3,-7.5,-7.5,-7.359999999999999
321496,-7.7,-7.2,-8.5,-6.7,-6.7,-7.359999999999999
116702,-7.4,-7.4,-8.4,-6.7,-6.8,-7.340000000000001
327702,-7.7,-7.9,-7.5,-6.5,-7.0,-7.32
270916,-7.7,-7.6,-8.1,-6.4,-6.8,-7.3199999999999985
408860,-7.1,-7.2,-8.4,-6.5,-7.2,-7.280000000000001
9037,-7.4,-7.5,-7.7,-6.7,-6.9,-7.24
309874,-8.3,-8.0,-7.3,-6.2,-6.4,-7.24
359472,-7.4,-7.9,-7.2,-7.2,-6.4,-7.220000000000001
345845,-7.6,-7.7,-7.1,-7.0,-6.7,-7.220000000000001
156516,-7.4,-7.5,-7.7,-6.5,-7.0,-7.220000000000001
48617,-7.1,-7.7,-8.2,-6.3,-6.7,-7.2
94600,-6.9,-7.7,-8.6,-6.8,-6.0,-7.2
202386,-5.8,-8.3,-7.5,-6.0,-8.4,-7.2
292923,-7.5,-7.1,-8.2,-6.4,-6.7,-7.18
60785,-7.9,-8.0,-7.8,-6.5,-5.7,-7.18
308835,-7.4,-7.4,-7.1,-6.7,-7.2,-7.159999999999999
116709,-7.5,-7.1,-7.6,-6.5,-7.1,-7.159999999999999
39938,-7.3,-7.1,-8.6,-6.5,-6.2,-7.140000000000001
5157,-7.5,-7.2,-7.4,-6.4,-7.2,-7.140000000000001
86467,-6.9,-7.9,-7.3,-6.7,-6.9,-7.140000000000001
