Molecule,Affinity
70931,-9.8
177862,-9.7
16437,-9.3
96541,-9.1
117987,-8.8
45527,-8.8
727038,-8.7
371178,-8.7
80313,-8.7
54709,-8.6
308835,-8.5
158549,-8.5
70799,-8.5
164991,-8.5
59620,-8.5
30813,-8.4
13294,-8.4
127133,-8.4
601359,-8.4
166259,-8.4
17128,-8.3
670283,-8.3
24032,-8.3
116644,-8.3
61610,-8.3
36923,-8.3
408860,-8.3
138398,-8.2
154389,-8.2
121868,-8.2
159092,-8.2
31762,-8.2
107582,-8.2
293360,-8.2
128606,-8.1
345845,-8.1
1614,-8.1
11668,-8.1
177365,-8.1
112541,-8.1
310354,-8.1
321496,-8.1
347463,-8.1
380802,-8.1
637578,-8.0
118628,-8.0
679525,-8.0
116709,-8.0
144694,-8.0
211490,-8.0
5157,-8.0
13051,-8.0
4292,-8.0
228137,-8.0
359472,-8.0
319990,-8.0
292923,-8.0
33570,-7.9
329249,-7.9
680515,-7.9
374703,-7.9
603071,-7.9
114449,-7.9
326375,-7.9
201989,-7.9
382035,-7.9
204232,-7.9
327702,-7.9
321502,-7.9
33738,-7.9
245091,-7.9
87084,-7.9
89201,-7.9
6145,-7.8
331968,-7.8
270916,-7.8
329255,-7.8
63543,-7.8
8090,-7.8
5476,-7.8
46492,-7.8
194308,-7.8
154585,-7.7
343256,-7.7
7578,-7.7
66695,-7.7
156516,-7.7
25457,-7.7
246999,-7.7
135894,-7.7
96491,-7.7
102314,-7.7
25435,-7.7
201631,-7.7
45384,-7.7
11991,-7.7
634396,-7.7
116702,-7.6
137399,-7.6
156565,-7.6
118818,-7.6
17355,-7.6
13316,-7.6
60785,-7.6
79582,-7.6
32673,-7.6
85433,-7.6
61888,-7.5
166637,-7.5
81463,-7.5
328010,-7.5
33575,-7.5
177866,-7.5
41805,-7.5
13176,-7.5
38352,-7.5
329065,-7.5
73254,-7.5
109128,-7.5
71097,-7.5
332670,-7.5
71866,-7.5
21603,-7.5
100708,-7.5
252359,-7.5
158413,-7.5
366289,-7.5
202386,-7.5
215276,-7.4
151888,-7.4
140899,-7.4
44750,-7.4
123389,-7.4
147358,-7.4
67436,-7.4
209901,-7.4
203837,-7.4
142335,-7.4
401077,-7.4
92849,-7.4
55862,-7.4
270063,-7.4
105781,-7.4
107701,-7.4
376254,-7.4
110562,-7.4
88916,-7.4
215718,-7.4
63680,-7.4
202705,-7.4
7962,-7.4
154127,-7.4
321491,-7.4
18883,-7.4
48617,-7.3
57624,-7.3
300540,-7.3
159566,-7.3
97920,-7.3
106282,-7.3
305329,-7.3
83950,-7.3
37641,-7.3
50654,-7.3
191441,-7.3
88600,-7.3
98857,-7.3
647136,-7.3
88795,-7.3
204262,-7.3
94600,-7.3
33010,-7.3
369070,-7.3
166596,-7.3
228150,-7.2
69421,-7.2
117268,-7.2
36586,-7.2
30930,-7.2
369066,-7.2
305780,-7.2
5836,-7.2
400770,-7.2
150432,-7.2
317003,-7.2
25678,-7.2
309874,-7.2
37553,-7.2
65238,-7.2
122297,-7.2
326757,-7.2
203912,-7.2
15910,-7.2
9782,-7.1
138389,-7.1
308849,-7.1
89429,-7.1
33478,-7.1
343526,-7.1
294623,-7.1
148832,-7.1
124146,-7.1
241624,-7.1
290311,-7.1
76549,-7.1
186067,-7.1
15776,-7.1
149054,-7.1
157522,-7.1
55845,-7.1
