Molecule,Name1,Name2,Name3,Name4,Name5,Name6
70931,CELASTROL,Celastrol,"2-Picenecarboxylic acid, 1,2,3,4,4a,5,6,6a,11,12b,13,14,14a,14b-tetradecahydro-10-hydroxy-2,4a,6a,9,12b,14a-hexamethyl-11-oxo-",,,
7578,Red Violet 2RN Acid Anthraquinone,"1-Anilino-9,10-dihydro-9,10-dioxo-2-anthroic acid","2-Anthracenecarboxylic acid, 9,10-dihydro-9,10-dioxo-1-(phenylamino)-","2-Anthroic acid, 1-anilino-9,10-dihydro-9,10-dioxo-",,
1614,"3.BETA.-HYDROXY-7,11-DIOXO-4,4,14-TRIMETHYL-5.ALPHA.-CHOLAN-24-OIC ACID",,,,,
727038,CDDO-Im,"Oleana-1,9(11)-dien-28-oic acid imidazolide, 2-cyano-3,12-dioxo-",,,,
204232,"N,N'-bis(3-Nitrophenyl)benzene-1,3-dicarboxamide",,,,,
670283,"2,2'-Spirobi[2H-benz[f]indene]-5,5'-dione, 1,1',3,3',5,5',6,6',7,7',8,8'-dodecahydro-",,,,,
603071,9-AC,9-AMINO-20(S)-CAMPTOTHECIN,9-AMINO-20-(S)-CAMPTOTHECIN,9-Amino-20-(S)-camptothecin,"1H-Pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione, 10-amino-4-ethyl-4-hydroxy-, (S)-",
73254,PPBP,Telon,KB 95,Reubenil,Reublonil,Benzometan
59620,"16.beta.,17.beta.-(1',2'-Cyclohex-4'-eno)-5.alpha.-androstane-3',12-dione, 3.beta.-hydroxy-5'-methyl-, acetate","(4a,6a,9-trimethyl-6,7-dioxo-2,3,4,4b,5,6b,10,10a,11,11a,11b,12,13,13a- tetradecahydro-1H-indeno[2,1-a]phenanthren-2-yl) acetate",,,,
1014,7-[.ALPHA.-[(4-METHYL-2-PYRIDYL)AMINO]BENZYL]-8-QUINOLINOL,,,,,
37641,Tricinolone acetophenonide,"Pregn-1,4-diene-3,20-dione, 9-fluoro-11,21-dihydroxy-16,17-[(1-phenylethylidine)bis(oxy)]-, (11.beta.,16.alpha.)-","Pregn-1,4-diene-3,20-dione, 9-fluoro-11.beta.,16.alpha.,17,21-tetrahydroxy-,cyclic 16,17-acetal with acetophenone",,,
270916,Danazol,Danol,Danocrine,Winobanin,Chronogyn,Win 17757
309874,"3-Chloro-N-(2-((2-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl)methyl)phenyl)benzo[b]thiophene-2-carboxamide",,,,,
156516,"1,8-Di(phenylthio)anthraquinone","Anthraquinone, 1,8-bis(phenylthio)-","1,8-Bis(phenylthio)-9,10-anthracenedione","9,10-Anthracenedione, 1,8-bis(phenylthio)-",,
94600,NSC 100880,CAMPTOTHECIN,CAMPTOTHECIN,CAMPTOTHECIN,Camptothecin,20(S)-Camptothecine
308835,"8-[4-[4-(7,9-dioxo-8-azaspiro[4.4]nonan-8-yl)-3-methylphenyl]- 2-methylphenyl]-8-azaspiro[4.4]nonane-7,9-dione",,,,,
96541,"1-Benzoyl-1,2-dihydrobenzo[f]quinaldonitrile","Benzo[f]quinoline-3-carbonitrile, 4-benzoyl-3,4-dihydro-","Benzo[f]quinoline-3-carbonitrile, 4-benzoyl-3,4-dihydro-",,,
76747,"Indole, 2-methyl-3-[(2-methyl-3H-indol-3-ylidene)methyl]-",,,,,
63543,"Pregna-1,4-diene-3,11,20-trione","Pregna-1,4-diene-3,11,20-trione",,,,
5836,Usaf K-1565,"1-(6-Sulfo-1-naphthyl)-2-thio-4,4,6-trimethyl dihydropyrimidine","2(1H)-Pyrimidinethione, 3,4-dihydro-1-(6-sulfo-1-naphthyl)-4,4,6-trimethyl-","2-Naphthalenesulfonic acid, 5-(2-mercapto-4,4,6-trimethyl-1(4H)-pyrimidinyl)-",,
293360,"1,3(2H,9bH)-Dibenzofurandione, 6-acetyl-2-(1-aminoethylidene)-7,9-dihydroxy-8,9b-dimethyl-",,,,,
343256,STUBOMYCIN,Stubomycin,HITACHIMYCIN,,,
19824,"5,5-Dimethyl-6H-benzo[c]acridin-6-ol",,,,,
11668,"N4,N6-bis(3-chlorophenyl)-1-methyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine",,,,,
382035,"2,4-Pyrimidinediamine, 6-ethyl-5-[4-[methyl(phenylmethyl) amino]-3-nitrophenyl]-",,,,,
96996,B 169,Piriqualone,2-[2-(2-Pyridyl)vinyl]-3-o-tolyl-4(3H)-quinazolinone,"4(3H)-Quinazolinone, 3-(2-methylphenyl)-2-[2-(2-pyridinyl)ethenyl]-","4(3H)-Quinazolinone, 2-[2-(2-pyridyl)vinyl]-3-o-tolyl-",
81463,Reserpic acid,Reserpinolic acid,"Yohimban-16-carboxylic acid, 18-hydroxy-11,17-dimethoxy-, (3.beta.,16.beta.,17.alpha.,18.beta.,20.alpha.)-","3.beta.,20.alpha.-Yohimban-16.beta.-carboxylic acid, 18.beta.-hydroxy-11,17.alpha.-dimethoxy-",,
661122,COSTATOLIDE,(-)-Calanolide B,,,,
159566,"2,5-Cyclohexadiene-1,4-dione, 2-(3-bromo-2,4,6-trimethylphenyl)-3,6-dihydroxy-5-methyl-",,,,,
36693,MARRUBIN,Marrubin,Marrubiin,"2H-Naphtho[1,8-bc]furan-2-one, 6-[2-(3-furanyl)ethyl]decahydro-6-hydroxy-2a,5a,7-trimethyl-, [2aS-(2a.alpha.,5a.beta.,6.alpha.,7.alpha.,8a.alpha.,8b.alpha.)]-","8.beta.H-Labda-13(16),14-dien-19-oic acid, 15,16-epoxy-6.beta.,9-dihydroxy-, .gamma.-lactone",
13316,(2-(4-chlorophenyl)quinolin-4-yl)(piperidin-2-yl)methanol,,,,,
60013,"9,10-Anthracenedione, 2,6-diamino-1,5-dichloro-","Anthraquinone, 2,6-diamino-1,5-dichloro-",,,,
37168,Celcot RM,Azotol NMA,Diathol BS,Azotol MNA,C.I. 37515,Brenthol MN
80137,Reserpinediol,Reserpic alcohol,,,,
177365,"1-Propanesulfonamide, 3-[(aminoiminomethyl)amino]-N-[4-[(3-nitro-9-acridinyl)amino]phenyl]-, dihydrochloride",,,,,
32984,Cryptopin,CRYPTOPINE,Kryptopine,Cryptopine,Kryptocavin,Cryptocavine
37187,C.I. 37526,Naphtazol C,Naphtol AS-KB,Naphthol AS-KB,Naphthanilid KB,Naphtanilide KB
37627,"1,5-Diphenoxyanthraquinone",WLN: L C666 BV IVJ DOR& KOR,"9,10-Anthracenedione, 1,5-diphenoxy-","Anthraquinone, 1,5-diphenoxy-","1,5-Difenoxyanthrachinon",
85433,Benzbromarone,L 2214,L-2214,Urinorm,Desuric,Exurate
