Molecule,Name1,Name2,Name3,Name4,Name5,Name6
70931,CELASTROL,Celastrol,"2-Picenecarboxylic acid, 1,2,3,4,4a,5,6,6a,11,12b,13,14,14a,14b-tetradecahydro-10-hydroxy-2,4a,6a,9,12b,14a-hexamethyl-11-oxo-",,,
96541,"1-Benzoyl-1,2-dihydrobenzo[f]quinaldonitrile","Benzo[f]quinoline-3-carbonitrile, 4-benzoyl-3,4-dihydro-","Benzo[f]quinoline-3-carbonitrile, 4-benzoyl-3,4-dihydro-",,,
727038,CDDO-Im,"Oleana-1,9(11)-dien-28-oic acid imidazolide, 2-cyano-3,12-dioxo-",,,,
308835,"8-[4-[4-(7,9-dioxo-8-azaspiro[4.4]nonan-8-yl)-3-methylphenyl]- 2-methylphenyl]-8-azaspiro[4.4]nonane-7,9-dione",,,,,
59620,"16.beta.,17.beta.-(1',2'-Cyclohex-4'-eno)-5.alpha.-androstane-3',12-dione, 3.beta.-hydroxy-5'-methyl-, acetate","(4a,6a,9-trimethyl-6,7-dioxo-2,3,4,4b,5,6b,10,10a,11,11a,11b,12,13,13a- tetradecahydro-1H-indeno[2,1-a]phenanthren-2-yl) acetate",,,,
670283,"2,2'-Spirobi[2H-benz[f]indene]-5,5'-dione, 1,1',3,3',5,5',6,6',7,7',8,8'-dodecahydro-",,,,,
61610,"1-N,4-N-bis[3-(1H-benzimidazol-2-yl)phenyl]benzene-1,4-dicarboxamide",,,,,
159092,"3-[(2-Aminophenyl)sulfanyl]-1-(2-chlorophenyl)pyrrolidine-2,5-dione",,,,,
293360,"1,3(2H,9bH)-Dibenzofurandione, 6-acetyl-2-(1-aminoethylidene)-7,9-dihydroxy-8,9b-dimethyl-",,,,,
1614,"3.BETA.-HYDROXY-7,11-DIOXO-4,4,14-TRIMETHYL-5.ALPHA.-CHOLAN-24-OIC ACID",,,,,
11668,"N4,N6-bis(3-chlorophenyl)-1-methyl-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine",,,,,
177365,"1-Propanesulfonamide, 3-[(aminoiminomethyl)amino]-N-[4-[(3-nitro-9-acridinyl)amino]phenyl]-, dihydrochloride",,,,,
637578,ANTINEOPLASTIC-637578,N-[3-(2-Pyridyl)isoquinolin-1-yl]-2-pyridinecarboxamidine,,,,
679525,"Benzyl 7-(Methoxycarbonyl)-3,4,5,6-tetrahydro-4,5-dioxo- 6-((4-methylphenyl)sulfonyl)benzo[1,2-b:4,3-b']dipyrrole-1-carboxylate",,,,,
4292,1-(Naphthalen-2-yl)-2-(6-nitrobenzo[d]thiazol-2-ylthio)ethanone,,,,,
680515,"7-(p-N,N-Dimethylaminophenylazo)benzofuran","Benzenamine,4-(7-benzofuranylazo)-N,N-dimethyl-",,,,
603071,9-AC,9-AMINO-20(S)-CAMPTOTHECIN,9-AMINO-20-(S)-CAMPTOTHECIN,9-Amino-20-(S)-camptothecin,"1H-Pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione, 10-amino-4-ethyl-4-hydroxy-, (S)-",
382035,"2,4-Pyrimidinediamine, 6-ethyl-5-[4-[methyl(phenylmethyl) amino]-3-nitrophenyl]-",,,,,
204232,"N,N'-bis(3-Nitrophenyl)benzene-1,3-dicarboxamide",,,,,
89201,Estramustine,Leo 275,RO 21-8837,ESTRAMUSTINE,Estradiol 3-[bis(2-chloroethyl)carbamate],17.beta.-Estradiol 3-[bis(2-chloroethyl)carbamate]
270916,Danazol,Danol,Danocrine,Winobanin,Chronogyn,Win 17757
63543,"Pregna-1,4-diene-3,11,20-trione","Pregna-1,4-diene-3,11,20-trione",,,,
343256,STUBOMYCIN,Stubomycin,HITACHIMYCIN,,,
7578,Red Violet 2RN Acid Anthraquinone,"1-Anilino-9,10-dihydro-9,10-dioxo-2-anthroic acid","2-Anthracenecarboxylic acid, 9,10-dihydro-9,10-dioxo-1-(phenylamino)-","2-Anthroic acid, 1-anilino-9,10-dihydro-9,10-dioxo-",,
156516,"1,8-Di(phenylthio)anthraquinone","Anthraquinone, 1,8-bis(phenylthio)-","1,8-Bis(phenylthio)-9,10-anthracenedione","9,10-Anthracenedione, 1,8-bis(phenylthio)-",,
45384,NSC-54384,NSC-45384,Methyl streptonigrin,Streptonigrin methyl ester,"STREPTONIGRIN, METHYL ESTER","Picolinic acid, 5-amino-6-(7-amino-6-methoxy-5,8-dioxo-2-quinolyl)-4-(2-hydroxy-3,4-dimethoxyphenyl)-3-methyl-, methyl ester"
634396,"2H-1,4-Benzothiazin-3(4H)-one, 2-[2-[(3-chloro-2-methylphenyl)amino]-2-oxoethyl]-",,,,,
